SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
541546,GAYAHWS     ,B ,Q,1.03,1.05,1.03,1.03,1.03,1.08,74,109451,113557.00,
541556,RITES       ,B ,Q,271.80,279.40,271.80,273.00,273.00,270.70,654,21287,5857938.00,
541557,FINEORG     ,B ,Q,1150.20,1225.00,1150.15,1209.50,1209.90,1146.70,192,1833,2197537.00,
541578,VARROC      ,B ,Q,650.10,695.85,650.10,684.35,684.10,651.35,316,2345,1581065.00,
541601,RAJNISH     ,M ,Q,137.00,137.00,137.00,137.00,137.00,125.00,1,1200,164400.00,
541700,TCNSBRANDS  ,B ,Q,675.00,701.00,675.00,699.00,699.00,673.20,388,2743,1910697.00,
541701,SUPERSHAKT  ,M ,Q,415.00,415.00,415.00,415.00,415.00,407.00,5,3600,1494000.00,
541702,ASHNI       ,T ,Q,5.60,5.60,5.60,5.60,5.60,5.80,1,1,5.00,
541703,GFIL        ,M ,Q,73.00,73.00,73.00,73.00,73.00,76.15,1,1600,116800.00,
541729,HDFCAMC     ,B ,Q,1540.00,1566.90,1540.00,1556.85,1556.85,1525.95,1447,28527,44395957.00,
541735,VIVANTA     ,B ,Q,3.33,3.33,3.33,3.33,3.33,3.48,1,1,3.00,
541744,TVF2G       ,B ,Q,7.50,8.42,7.50,7.64,7.64,7.66,4,215,1707.00,
541770,CREDITACC   ,B ,Q,384.00,393.45,384.00,392.15,392.15,385.95,231,5831,2281032.00,
541771,AMINTAN     ,B ,Q,1.62,1.95,1.62,1.91,1.94,1.78,42,21352,38640.00,
541778,DEEP        ,MT,Q,44.00,44.00,44.00,44.00,44.00,42.00,1,3000,132000.00,
541804,IPRU3168    ,B ,Q,8.01,8.44,8.00,8.26,8.44,8.35,11,11644,95997.00,
541805,IPRU3169    ,B ,Q,8.09,8.09,8.09,8.09,8.09,7.36,1,10,80.00,
541809,ICICINXT50  ,B ,Q,27.58,27.58,27.58,27.58,27.58,26.57,1,1,27.00,
541890,SPACEINCUBA ,B ,Q,0.80,0.80,0.80,0.80,0.80,0.81,4,5180,4144.00,
541956,IRCON       ,B ,Q,415.20,429.00,415.20,425.75,425.75,415.75,218,3872,1644816.00,
541972,SETFSN50    ,B ,Q,317.80,320.90,317.80,320.90,320.90,313.10,5,400,127680.00,
541973,MACH        ,M ,Q,65.90,66.00,65.90,66.00,66.00,62.60,2,12000,791400.00,
541974,MANORAMA    ,M ,Q,193.00,193.70,190.00,190.00,190.00,192.40,4,3000,574020.00,
541988,AAVAS       ,B ,Q,782.40,813.20,782.40,806.70,804.00,789.40,1183,10582,8496510.00,
541999,GENERAAGRI  ,X ,Q,4.56,4.56,4.56,4.56,4.56,4.56,1,2,9.00,
